city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth,real_estate_inv,house_sales
上海,2024,8374.17,9874.84,53759.5,1500.67,0.0279145081334461,0.0074189473684209,0.024519349982518,6228.91,1656.86
上海,2023,8312.5,9638.51,51404.5,1326.0100000000002,0.0257956015523932,0.0925998948475288,0.0261375492387949,6062.04,1811.71
上海,2022,7608.0,9393.0,48594.5,1785.0,0.036732552037782,-0.0210761985640391,0.1141212165781426,4979.54,1852.88
上海,2021,7771.8,8430.86,47059.4,659.0600000000004,0.0140048534405453,0.1029618381278116,0.0405758499946311,5035.18,1880.45
上海,2020,7046.3,8102.11,41603.9,1055.8099999999995,0.0253776689204617,-0.0165803687317692,-0.0094348157784058,4698.75,1789.16
上海,2019,7165.1,8179.28,40241.2,1014.1799999999994,0.0252025287516276,0.0080119299677132,-0.0206261360180279,4231.38,1696.34
上海,2018,7108.15,8351.54,37769.1,1243.3900000000012,0.0329208268134533,0.0701402835781797,0.1065130464967765,4033.18,1767.01
上海,2017,6642.26,7547.62,34378.3,905.3599999999996,0.0263352172736871,0.0368600075240435,0.0908636293998792,3856.53,1691.6
上海,2016,6406.13,6918.94,30963.9,512.8099999999995,0.0165615442499168,0.1606359271673159,0.1174792782432858,3709.03,2705.69
上海,2015,5519.5,6191.56,27821.6,672.0600000000004,0.0241560514132904,0.2036724057092387,0.2575678793688967,3468.94,2431.36
上海,2014,4585.55,4923.44,25964.5,337.8899999999994,0.0130135377149569,0.1158386279629444,0.0871856927401564,3206.48,2084.66
上海,2013,4109.51,4528.61,23809.4,419.09999999999945,0.0176022915319159,0.0977105598457146,0.0823585929321559,2819.59,2382.2
上海,2012,3743.71,4184.02,21774.9,440.3100000000004,0.0202209883857101,0.0915147397975992,0.0687479565146313,2381.36,1898.46
上海,2011,3429.83,3914.88,20406.1,485.0500000000002,0.0237698531321516,0.193573869528602,0.18528924669002,2253.83,1790.86
上海,2010,2873.58,3302.89,18319.6,429.30999999999995,0.0234344636345771,0.131197102704405,0.1047748064154665,1980.68,2060.96
上海,2009,2540.3,2989.65,16181.4,449.3499999999999,0.0277695378644616,0.0769687334393216,0.1525606032568467,1462.07,3372.45
上海,2008,2358.75,2593.92,14877.1,235.17000000000007,0.0158075162498067,0.137031930893525,0.1889553005023652,1435.73,2339.29
